,21-Apr-2020
The Nifty witnessed an intraday movement of about 135 points.The closing index was 3.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 46977.52
, Traded Quantity (in Lakhs), 22285.3
, Number of Trades, 19066680
, Total Market Capitalisation (Rs. Crores), 11891972.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANDHRSUGAR,EQ,       214.15,                 14688300.50,68279
,ANIKINDS,EQ,        10.80,                    45867.60,4247
,ANKITMETAL,EQ,          .40,                     1348.85,3538
,ANSALAPI,EQ,         4.75,                    66630.95,14387
,ANSALHSG,EQ,         3.05,                    61746.65,19830
,ANUP,EQ,       287.00,                  2965723.70,10250
,APARINDS,EQ,       301.20,                  4388088.95,14322
,APCL,EQ,       103.35,                   582177.85,5532
,APCOTEXIND,EQ,        88.60,                  1081552.05,12183
,APEX,EQ,       245.00,                 33475176.00,135179
,APLAPOLLO,EQ,      1163.90,                 31272334.05,26439
,APLLTD,EQ,       617.95,                219420162.75,349031
,APOLLO,EQ,        59.45,                  2410310.75,40272
,APOLLOHOSP,EQ,      1351.15,               2289120417.05,1669512
,APOLLOPIPE,EQ,       285.45,                  1317791.15,4625
,APOLLOTYRE,EQ,        91.95,                307275048.75,3326415
,APOLSINHOT,EQ,       512.55,                   295525.30,591
,APTECHT,EQ,        85.90,                  8677052.80,100512
,ARCHIDPLY,EQ,        17.75,                    78631.05,4481
,ARCHIES,EQ,        12.35,                   667625.20,52151
,ARCOTECH,EQ,         1.35,                    50581.80,37468
,ARENTERP,EQ,         9.25,                    86086.65,8851
,ARIES,EQ,        56.60,                  2561045.50,44466
,ARIHANT,EQ,        14.60,                    27689.45,1833
,ARIHANTSUP,EQ,        20.20,                  2048489.90,101448
,ARMANFIN,EQ,       388.70,                  6147255.50,15815
,AROGRANITE,EQ,        25.05,                   157447.95,6232
,ARROWGREEN,BE,        39.20,                   129711.95,3279
,ARSHIYA,EQ,         9.50,                   168184.75,17837
,ARSSINFRA,EQ,        14.10,                   142156.45,10001
,ARTEMISMED,EQ,       152.60,                   365803.30,2356
,ARVIND,EQ,        25.80,                 31899900.05,1229868
,ARVINDFASN,EQ,       142.20,                 27948646.50,192531
,ARVSMART,EQ,        67.10,                  1918328.30,28364
,ASAHIINDIA,EQ,       167.70,                  2442279.10,14506
,ASAHISONG,EQ,        92.25,                  1111031.95,11897
,ASAL,EQ,        17.00,                   209426.20,12153
,ASALCBR,EQ,       167.85,                  8543243.70,49012
