,31-Mar-2020
The Nifty witnessed an intraday movement of about 320.3 points.The closing index was 3.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39637.65
, Traded Quantity (in Lakhs), 19589.47
, Number of Trades, 18175533
, Total Market Capitalisation (Rs. Crores), 11243111.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARCHIDPLY,EQ,        15.40,                   131352.15,8445
,ARCHIES,EQ,         8.80,                   243542.20,27400
,ARCOTECH,EQ,          .85,                    66029.20,77735
,ARIES,EQ,        40.00,                   546916.60,13906
,ARIHANT,EQ,        11.10,                    12337.75,1148
,ARIHANTSUP,EQ,        21.00,                   119983.25,5739
,ARMANFIN,EQ,       414.50,                  1611370.75,3876
,AROGRANITE,EQ,        18.80,                   211060.40,11587
,ARROWGREEN,BE,        33.60,                    66810.15,2039
,ARSHIYA,EQ,         6.80,                  1199106.85,172135
,ARSSINFRA,EQ,        10.00,                   290420.00,29753
,ARTEMISMED,EQ,       137.00,                    65107.60,500
,ARVIND,EQ,        19.65,                 32514516.60,1639381
,ARVINDFASN,EQ,       146.55,                  2104097.25,14405
,ARVSMART,EQ,        67.55,                   533245.70,7809
,ASAHIINDIA,EQ,       156.15,                  1475344.15,9532
,ASAHISONG,EQ,        73.50,                   867608.25,11811
,ASAL,EQ,        13.00,                    20624.55,1565
,ASALCBR,EQ,       157.90,                  2472518.40,15980
,ASHAPURMIN,EQ,        20.45,                  2181704.30,112646
,ASHIANA,EQ,        49.80,                  4447288.90,88105
,ASHIMASYN,EQ,         3.20,                    41380.00,13299
,ASHOKA,EQ,        41.35,                 31401683.35,762208
,ASIANHOTNR,EQ,        68.75,                   464020.90,6958
,ASIANTILES,EQ,       161.85,                  3622339.00,22197
,ASPINWALL,EQ,        86.50,                   125808.70,1418
,ASTEC,EQ,       388.30,                 21411025.50,56931
,ASTERDM,EQ,        95.15,                  8184791.15,85920
,ASTRAL,EQ,       936.85,                 55450237.35,60392
,ASTRAMICRO,EQ,        51.90,                 12573081.35,239610
,ASTRAZEN,EQ,      2403.85,                320857216.55,134769
,ASTRON,EQ,        26.95,                   634100.20,23290
,ATFL,EQ,       382.30,                  8903782.10,23383
,ATLANTA,EQ,         2.70,                    84060.90,30813
,ATLASCYCLE,BE,        29.50,                   144098.05,4873
,ATNINTER,BE,          .10,                     6555.20,68310
,ATUL,EQ,      3988.45,                177818868.15,45001
,ATULAUTO,EQ,       139.35,                  3794393.05,27101
,AUBANK,EQ,       505.35,                363729871.85,746322
,AURIONPRO,EQ,        40.50,                 11787310.10,294673
,AUSOMENT,EQ,        26.35,                   195922.60,7715
,AUTOAXLES,EQ,       384.05,                  2031249.75,5307
,AUTOIND,EQ,         9.75,                    82539.00,8560
,AUTOLITIND,EQ,        11.45,                    47532.80,4044
,AVADHSUGAR,EQ,       118.15,                   319477.60,2704
,AVANTIFEED,EQ,       294.25,                138968556.55,472228
,AVTNPL,EQ,        23.65,                  1289863.10,55230
,AXISCADES,EQ,        28.15,                  1225458.95,44029
,AXISGOLD,EQ,      3852.80,                  2681775.80,694
,AXISNIFTY,EQ,      1056.00,                     3168.00,3
,AYMSYNTEX,EQ,        15.75,                   175737.70,11203
,BAFNAPH,EQ,        13.30,                     2620.10,197
,BAGFILMS,BE,         1.80,                   111883.40,62163
,BAJAJCON,EQ,       132.45,                 52889348.90,396187
,BAJAJELEC,EQ,       268.45,                 25923782.55,94531
,BAJAJHIND,EQ,         2.65,                  3018344.70,1138998
,BALAJITELE,EQ,        37.75,                  2865377.40,76726
,BALAMINES,EQ,       251.60,                  9227091.70,36171
,BALAXI,BE,        74.00,                    17792.00,258
,BALKRISHNA,EQ,         7.80,                    25998.10,3294
,BALKRISIND,EQ,       791.65,                895005409.65,1124017
,BALLARPUR,EQ,          .35,                  1188275.90,3851569
,BALMLAWRIE,EQ,        79.45,                 11120202.40,140832
,BALPHARMA,EQ,        31.90,                   844350.35,26848
,BALRAMCHIN,EQ,       104.05,                 22910873.55,220191
,BANARBEADS,EQ,        29.45,                    11531.20,397
,BANARISUG,EQ,       867.70,                  1307915.25,1535
,BANCOINDIA,EQ,        65.05,                  2647802.55,40712
,BANG,EQ,        11.60,                    47371.75,4144
,BANKBEES,EQ,       194.57,                110886013.82,570830
,BANKINDIA,EQ,        32.25,                 34402018.20,1066729
,BANSWRAS,EQ,        72.85,                   395511.50,5576
,BARTRONICS,BZ,          .65,                     1591.00,2500
,BASF,EQ,      1125.25,                 28618265.85,25215
,BASML,EQ,        69.40,                     9292.10,134
,BATAINDIA,EQ,      1231.10,                630751699.80,513601
,BAYERCROP,EQ,      3455.95,                 41971429.45,12293
,BBL,EQ,       569.55,                  5156549.75,9414
,BBTC,EQ,       732.50,                 31011597.55,42501
,BCG,EQ,         3.10,                  1502496.50,471082
,BCP,EQ,        10.85,                    24944.15,2299
,BDL,EQ,       185.15,                  6906428.05,37381
,BEARDSELL,EQ,         6.80,                     8098.80,1191
,BEDMUTHA,EQ,        13.15,                    16971.95,1337
,BEL,EQ,        74.45,                532069913.30,7161517
,BEML,EQ,       451.65,                 71241259.05,155497
,BEPL,EQ,        28.85,                  5780247.20,200819
,BETA,SM,        40.00,                    64000.00,1600
,BFINVEST,EQ,       226.80,                  1075919.95,4651
,BFUTILITIE,EQ,       144.20,                  6993128.90,48894
,BGRENERGY,EQ,        20.95,                   989047.90,46808
,BHAGERIA,EQ,        75.65,                  1148332.80,15295
,BHAGYANGR,EQ,        14.30,                    93698.55,6228
,BHAGYAPROP,EQ,        20.00,                      728.05,35
,BHANDARI,EQ,          .75,                    90205.55,127527
,BHARATFORG,EQ,       234.95,                684830303.75,2858267
,BHARATGEAR,EQ,        25.50,                   202567.05,7995
,BHARATRAS,EQ,      5159.60,                  6597791.60,1277
,BHARATWIRE,EQ,        11.20,                   325049.65,29409
,BHEL,EQ,        20.80,                416663238.25,20144665
,BIGBLOC,EQ,        28.50,                     2793.00,98
,BIL,EQ,        73.15,                   179342.15,2408
,BILENERGY,EQ,          .50,                   199845.35,427511
,BINDALAGRO,EQ,         7.50,                   153832.90,20574
,BIOFILCHEM,EQ,         7.50,                    59836.40,8433
,BIRLACABLE,EQ,        32.50,                   886849.25,27349
,BIRLACORPN,EQ,       415.05,                 21970726.90,53039
,BIRLAMONEY,EQ,        19.30,                   624179.30,32021
,BIRLATYRE,EQ,         3.00,                   353784.00,117933
,BKMINDST,BE,          .40,                       32.00,80
,BLBLIMITED,EQ,         3.20,                    10920.40,3498
,BLISSGVS,EQ,       100.75,                 14968213.75,148258
,BLKASHYAP,EQ,         4.70,                   318161.80,67694
,BLS,EQ,        29.15,                  1211649.85,40946
,BLUECHIP,BE,          .10,                       44.30,443
,BLUECOAST,BE,         4.20,                        8.40,2
,BLUEDART,EQ,      2199.05,                 35001333.05,15481
,BLUESTARCO,EQ,       459.45,                 45351073.65,99880
,BODALCHEM,EQ,        42.40,                  8909049.70,211629
,BOHRA,SM,          .55,                    12100.00,22000
,BOMDYEING,EQ,        45.80,                 34761697.50,759339
,BORORENEW,EQ,        37.25,                 10154588.60,263697
,BPL,EQ,        11.05,                  1760843.15,160163
,BRFL,EQ,         3.00,                   175616.85,58087
,BRIGADE,EQ,       130.15,                  3771961.95,29406
,BRITANNIA,N2,        31.62,                   111993.43,3516
,BRNL,EQ,        33.05,                    80396.90,2412
