,13-May-2020
The Nifty witnessed an intraday movement of about 233.4 points.The closing index was 2.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57532.9
, Traded Quantity (in Lakhs), 31798.62
, Number of Trades, 20242248
, Total Market Capitalisation (Rs. Crores), 12268543.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANCOINDIA,EQ,        65.50,                  5436949.65,82640
,BANG,EQ,        15.35,                     7342.75,490
,BANKBEES,EQ,       197.78,                142387375.11,716377
,BANKINDIA,EQ,        34.15,                133162220.00,3917355
,BANSWRAS,EQ,        70.65,                   710026.30,10017
,BARTRONICS,BZ,         1.40,                    25494.60,18214
,BASF,EQ,       991.00,                  8742255.30,8719
,BASML,EQ,        77.00,                    83258.15,1076
,BATAINDIA,EQ,      1384.60,               1839001961.70,1343211
,BAYERCROP,EQ,      4471.65,                 25830748.75,5774
,BBL,EQ,       662.50,                  4583022.65,6940
,BBTC,EQ,       853.40,                 51295471.65,59510
,BCG,EQ,         4.60,                  5859604.10,1328910
,BCP,EQ,         9.60,                  1602449.30,166957
,BDL,EQ,       240.00,                225357697.40,941962
,BEARDSELL,EQ,         9.00,                    74076.55,8375
,BEDMUTHA,EQ,        11.65,                    15231.50,1319
,BEL,EQ,        65.70,               1811466898.15,28023955
,BEML,EQ,       600.75,               1426051651.30,2329930
,BEPL,EQ,        38.40,                 30560189.75,815233
,BETA,SM,        48.05,                   117720.00,2400
,BFINVEST,EQ,       238.05,                   926684.90,3874
,BFUTILITIE,EQ,       165.40,                 14693212.50,88871
,BGRENERGY,EQ,        23.20,                  2156892.65,93526
,BHAGERIA,EQ,       110.20,                  6490581.05,58988
,BHAGYANGR,EQ,        14.85,                   105947.30,7153
,BHAGYAPROP,EQ,        19.15,                   110482.50,5798
,BHANDARI,EQ,          .85,                    59293.45,68499
,BHARATFORG,EQ,       285.30,               1829808467.25,6278981
,BHARATGEAR,BE,        37.05,                   451811.40,12492
,BHARATRAS,EQ,      6607.35,                 17285961.70,2635
,BHARATWIRE,EQ,        17.25,                   537648.95,31681
,BHEL,EQ,        26.60,               7780368123.25,309686625
,BIGBLOC,EQ,        27.00,                    19716.55,751
