,ABFRL,EQ,       139.65,               1020980048.20,7103279
,ABMINTLTD,BE,        12.40,                      839.85,68
,ABSLBANETF,EQ,       196.00,                    87299.94,443
,ABSLNN50ET,EQ,       251.03,                   141148.28,559
,ABSLRIF6RG,MF,         5.43,                    16290.00,3000
,ACCELYA,EQ,       944.90,                  2309097.10,2436
,ACCURACY,SM,        25.00,                    78400.00,3200
,ACE,EQ,        55.20,                 82068985.05,1470152
,ADANIENT,EQ,       149.25,                489307940.35,3214996
,ADANIGAS,EQ,       136.95,                384839668.50,2814244
,ADANIGREEN,EQ,       346.15,                924774674.10,2701757
,ADANIPOWER,EQ,        37.50,                412267554.35,10878874
,ADFFOODS,EQ,       284.90,                  8308300.50,28793
,ADHUNIKIND,EQ,        19.35,                   638671.65,32915
,ADORWELD,EQ,       248.70,                  1255895.00,5060
,ADROITINFO,EQ,         7.00,                   206322.00,30324
,ADSL,EQ,        18.50,                  1741954.85,91688
,ADVANIHOTR,EQ,        48.05,                   229809.05,4781
,ADVENZYMES,EQ,       164.75,                 23587987.05,141361
,AEGISCHEM,EQ,       179.35,                 19957485.40,110243
,AFFLE,EQ,      1503.65,                 84886712.00,56683
,AGARIND,EQ,        70.95,                  2302665.40,33294
,AGCNET,EQ,       305.80,                  1086281.10,3500
,AGRITECH,BE,        37.30,                   324751.20,8870
,AGROPHOS,EQ,        15.35,                  2503480.20,161233
,AHLADA,SM,        46.15,                    46150.00,1000
,AHLEAST,EQ,       138.00,                   534523.95,3777
,AHLUCONT,EQ,       186.20,                   794700.55,4269
,AHLWEST,EQ,       260.95,                    82587.55,321
,AIAENG,EQ,      1589.95,                 63800064.10,39452
,AIONJSW,EQ,        14.95,                  1833695.40,123176
,AIRAN,EQ,        16.70,                  7890952.25,476130
,AISL,SM,        18.95,                    22740.00,1200
,AJANTPHARM,EQ,      1420.45,                369338992.10,255800
,AJMERA,EQ,        83.40,                  4136758.60,49073
,AKASH,BE,        89.60,                   302275.35,3352
,AKSHARCHEM,EQ,       200.85,                  2745580.85,13634
